Region,date,date2,cases,LCITY,COMMUNITY,LABEL,deaths,Longitude,Latitude
Adams,2020-06-22,2020-06-22,90,,,,,-118.0805347,33.8485544
Adams,2020-06-23,2020-06-23,91,,,,,-118.0805347,33.8485544
Adams,2020-06-24,2020-06-24,92,,,,,-118.0805347,33.8485544
Adams,2020-06-25,2020-06-25,93,,,,,-118.0805347,33.8485544
Adams,2020-06-26,2020-06-26,94,,,,,-118.0805347,33.8485544
Adams,2020-06-27,2020-06-27,94,,,,,-118.0805347,33.8485544
Adams,2020-06-28,2020-06-28,95,,,,,-118.0805347,33.8485544
Adams,2020-06-29,2020-06-29,96,,,,,-118.0805347,33.8485544
Adams,2020-06-30,2020-06-30,101,,,,,-118.0805347,33.8485544
Adams,2020-07-01,2020-07-01,103,,,,,-118.0805347,33.8485544
Adams,2020-07-02,2020-07-02,105,,,,,-118.0805347,33.8485544
Adams,2020-07-03,2020-07-03,107,,,,,-118.0805347,33.8485544
Adams,2020-07-04,2020-07-04,109,,,,,-118.0805347,33.8485544
Adams,2020-07-05,2020-07-05,109,,,,,-118.0805347,33.8485544
Adams,2020-07-06,2020-07-06,112,,,,,-118.0805347,33.8485544
Adams,2020-07-07,2020-07-07,116,,,,,-118.0805347,33.8485544
Adams,2020-07-08,2020-07-08,118,,,,,-118.0805347,33.8485544
Adams,2020-07-09,2020-07-09,122,,,,,-118.0805347,33.8485544
Adams,2020-07-10,2020-07-10,123,,,,,-118.0805347,33.8485544
Adams,2020-07-11,2020-07-11,126,,,,,-118.0805347,33.8485544
Adams,2020-07-12,2020-07-12,127,,,,,-118.0805347,33.8485544
Adams,2020-07-13,2020-07-13,130,,,,,-118.0805347,33.8485544
Adams-Normandie,2020-07-13,2020-07-13,130,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-07-14,2020-07-14,131,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-07-15,2020-07-15,133,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-07-16,2020-07-16,138,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-07-17,2020-07-17,139,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-07-18,2020-07-18,143,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-07-19,2020-07-19,143,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-07-20,2020-07-20,144,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-07-21,2020-07-21,144,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-07-22,2020-07-22,148,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-07-23,2020-07-23,148,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-07-24,2020-07-24,150,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-07-25,2020-07-25,150,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-07-26,2020-07-26,151,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-07-27,2020-07-27,153,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-07-28,2020-07-28,156,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-07-29,2020-07-29,162,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-07-30,2020-07-30,164,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-08-03,2020-08-03,172,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-08-04,2020-08-04,176,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-08-05,2020-08-05,178,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-08-06,2020-08-06,185,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-08-07,2020-08-07,188,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-08-08,2020-08-08,189,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-08-09,2020-08-09,194,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-08-10,2020-08-10,201,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-08-11,2020-08-11,203,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-08-12,2020-08-12,206,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-08-13,2020-08-13,210,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-08-14,2020-08-14,215,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-08-15,2020-08-15,219,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-08-16,2020-08-16,221,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-08-17,2020-08-17,224,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-08-18,2020-08-18,226,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-08-19,2020-08-19,229,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-08-20,2020-08-20,230,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
Adams-Normandie,2020-08-21,2020-08-21,231,Los Angeles,Adams-Normandie,Los Angeles - Adams-Normandie,3,,
